id,buying,maint,doors,persons,lug_boot,safety,classfication
148,high,vhigh,3,more,big,med,unacc
149,high,vhigh,3,more,big,high,unacc
150,high,vhigh,4,2,small,low,unacc
151,high,vhigh,4,2,small,med,unacc
152,high,vhigh,4,2,small,high,unacc
153,high,vhigh,4,2,med,low,unacc
154,high,vhigh,4,2,med,med,unacc
155,high,vhigh,4,2,med,high,unacc
156,high,vhigh,4,2,big,low,unacc
157,high,vhigh,4,2,big,med,unacc
158,high,vhigh,4,2,big,high,unacc
159,high,vhigh,4,4,small,low,unacc
160,high,vhigh,4,4,small,med,unacc
161,high,vhigh,4,4,small,high,unacc
162,high,vhigh,4,4,med,low,unacc
163,high,vhigh,4,4,med,med,unacc
164,high,vhigh,4,4,med,high,unacc
165,high,vhigh,4,4,big,low,unacc
166,high,vhigh,4,4,big,med,unacc
167,high,vhigh,4,4,big,high,unacc
168,high,vhigh,4,more,small,low,unacc
169,high,vhigh,4,more,small,med,unacc
170,high,vhigh,4,more,small,high,unacc
171,high,vhigh,4,more,med,low,unacc
172,high,vhigh,4,more,med,med,unacc
173,high,vhigh,4,more,med,high,unacc
174,high,vhigh,4,more,big,low,unacc
175,high,vhigh,4,more,big,med,unacc
176,high,vhigh,4,more,big,high,unacc
177,high,vhigh,5more,2,small,low,unacc
178,high,vhigh,5more,2,small,med,unacc
179,high,vhigh,5more,2,small,high,unacc
180,high,vhigh,5more,2,med,low,unacc
181,high,vhigh,5more,2,med,med,unacc
182,high,vhigh,5more,2,med,high,unacc
183,high,vhigh,5more,2,big,low,unacc
184,high,vhigh,5more,2,big,med,unacc
185,high,vhigh,5more,2,big,high,unacc
186,high,vhigh,5more,4,small,low,unacc
187,high,vhigh,5more,4,small,med,unacc
188,high,vhigh,5more,4,small,high,unacc
189,high,vhigh,5more,4,med,low,unacc
190,high,vhigh,5more,4,med,med,unacc
191,high,vhigh,5more,4,med,high,unacc
192,high,vhigh,5more,4,big,low,unacc
193,high,vhigh,5more,4,big,med,unacc
194,high,vhigh,5more,4,big,high,unacc
195,high,vhigh,5more,more,small,low,unacc
196,high,vhigh,5more,more,small,med,unacc
197,high,vhigh,5more,more,small,high,unacc
198,high,vhigh,5more,more,med,low,unacc
199,high,vhigh,5more,more,med,med,unacc
200,high,vhigh,5more,more,med,high,unacc
201,high,vhigh,5more,more,big,low,unacc
202,high,vhigh,5more,more,big,med,unacc
203,high,vhigh,5more,more,big,high,unacc
204,high,high,2,2,small,low,unacc
205,high,high,2,2,small,med,unacc
206,high,high,2,2,small,high,unacc
207,high,high,2,2,med,low,unacc
208,high,high,2,2,med,med,unacc
209,high,high,2,2,med,high,unacc
210,high,high,2,2,big,low,unacc
211,high,high,2,2,big,med,unacc
212,high,high,2,2,big,high,unacc
213,high,high,2,4,small,low,unacc
214,high,high,2,4,small,med,unacc
215,high,high,2,4,small,high,acc
216,high,high,2,4,med,low,unacc
217,high,high,2,4,med,med,unacc
218,high,high,2,4,med,high,acc
219,high,high,2,4,big,low,unacc
220,high,high,2,4,big,med,acc
221,high,high,2,4,big,high,acc
222,high,high,2,more,small,low,unacc
