id,Abalonedata,Sources,PastUsage,RelevantInformationParagraph,NumberofInstances,NumberofAttributes,Attributeinformation,MissingAttributeValues,classfication
279,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
280,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
281,I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
282,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
283,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
284,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
285,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
286,M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
287,M,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
288,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
289,M,0.645,0.5,0.175,1.286,0.5645,0.288,0.386,12
290,M,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14
291,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
292,M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
293,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
294,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
295,M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10
296,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
297,M,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9
298,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
299,F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
300,M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
301,M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
302,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
303,M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
304,F,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9
305,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
306,F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
307,M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9
308,F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
309,M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
310,M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
311,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
312,M,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
313,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
314,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
315,M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
316,M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
317,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
318,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
319,F,0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
320,F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
321,M,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13
322,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
323,M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
324,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
325,M,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
326,F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11
327,F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12
328,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
329,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
330,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
331,M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
332,F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
333,F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
334,M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
335,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
336,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
337,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
338,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
339,F,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
340,M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11
341,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
342,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
343,M,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12
344,M,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12
345,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
346,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
347,I,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6
348,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
349,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
350,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
351,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
352,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
353,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
354,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
355,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10
356,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
357,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
358,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
359,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
360,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
361,M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9
362,M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
363,M,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8
364,M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
365,M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
366,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
367,F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
368,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
369,I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
370,F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
371,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
372,F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
373,M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
374,M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
375,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
376,I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
377,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
378,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
379,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
380,M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
381,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
382,M,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9
383,M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
384,F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
385,F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
386,M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
387,M,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,9
