id,sex,length,Diametercontinuous,Height,Wholeweight,Shuckedweight,Visceraweight,Shellweight,classfication
173,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
174,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
175,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
176,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
177,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
178,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
179,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
180,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
181,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
182,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
183,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9
184,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
185,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
186,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
187,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
188,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
189,I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
190,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
191,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
192,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9
193,I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
194,I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9
195,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9
196,M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
197,I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,9
198,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
199,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
200,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
201,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
202,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
203,F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
204,M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
205,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
206,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
207,I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
208,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
209,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
210,I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8
211,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
212,F,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9
213,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
214,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
215,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
216,M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
217,I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
218,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9
219,I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
220,I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9
221,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9
222,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
223,I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
224,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11
225,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
226,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8
227,M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
228,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
229,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
230,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9
231,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
232,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
233,M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9
234,F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
235,F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
236,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
237,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10
238,M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
239,F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
240,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
241,M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
242,I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,10
243,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
244,M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10
245,M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
246,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
247,I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
248,M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
249,M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
250,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
251,F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,12
252,M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
253,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
254,I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10
255,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11
256,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
257,M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,11
258,I,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11
259,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
260,I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11
261,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9
262,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
263,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
264,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
265,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
266,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
267,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
268,M,0.61,0.46,0.16,1,0.494,0.197,0.275,10
269,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
270,M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
271,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
272,F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12
273,M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
274,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
275,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
276,M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
277,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
278,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
279,F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
280,M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
281,F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
282,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
283,F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
284,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
285,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
286,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
287,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
288,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
289,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
290,F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9
291,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9
292,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
293,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
294,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
295,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
296,M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
297,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
298,M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
299,F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11
300,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
301,M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
302,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
303,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
304,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
305,M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
306,F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10
307,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
308,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
309,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
310,F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10
311,F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
312,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
313,M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
314,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
315,F,0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11
316,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12
317,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
318,M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
